epoch,lr,train_loss,val_loss,auc,accuracy,f1,sensitivity,specificity,patients,images
1,0.00029815325108927063,2.1532365307949557,2.2299276791483504,0.6190476190476191,0.8153846153846154,0.0,0.0,0.9464285714285714,65,243
2,0.00029265847744427303,0.7928285901441307,1.8830762292131966,0.48214285714285715,0.7538461538461538,0.0,0.0,0.875,65,243
3,0.0002836509786282552,0.4711492440150853,1.868254276965994,0.5992063492063492,0.7692307692307693,0.11764705882352941,0.1111111111111111,0.875,65,243
4,0.0002713525491562421,0.31614335566295426,2.1628608507384,0.7063492063492064,0.8461538461538461,0.0,0.0,0.9821428571428571,65,243
5,0.0002560660171779821,0.16666872681367514,1.663372521415169,0.7936507936507936,0.8615384615384616,0.0,0.0,1.0,65,243
6,0.000238167787843871,0.16911373843334856,1.713559808803592,0.7738095238095238,0.8153846153846154,0.14285714285714285,0.1111111111111111,0.9285714285714286,65,243
7,0.00021809857496093204,0.13282241729645342,1.7291655932963201,0.6587301587301587,0.7846153846153846,0.125,0.1111111111111111,0.8928571428571429,65,243
8,0.00019635254915624216,0.10984079949057211,2.086216622051388,0.7916666666666666,0.8461538461538461,0.16666666666666666,0.1111111111111111,0.9642857142857143,65,243
9,0.00017346516975603468,0.11392051620669716,1.8627194440329577,0.7787698412698413,0.8461538461538461,0.2857142857142857,0.2222222222222222,0.9464285714285714,65,243
10,0.00015000000000000001,0.07218107213516478,2.470075662734577,0.7222222222222222,0.8307692307692308,0.0,0.0,0.9642857142857143,65,243
